,Rooms,Furnishing,Bathroom,Availability,Carpet Area,Floor,Price,Location
255,3,Unfurnished,2,Immediately,1100.0,6,30000.0,"Hinjawadi, "
256,2,Furnished,2,Immediately,980.0,1,55000.0,"Viman Nagar, "
257,1,Unfurnished,1,Immediately,490.0,0,14000.0,"Dhanori Road, "
258,4,Semi-Furnished,5,Immediately,2900.0,5,130000.0,"NIBM Road, "
259,3,Semi-Furnished,3,Immediately,1250.0,10,35000.0,"Hills and Dales, "
260,2,Semi-Furnished,2,Immediately,740.0,7,26000.0,"Punawale Road, "
261,4,Furnished,6,Immediately,2200.0,17,180000.0,"Kharadi, "
262,0,Furnished,1,Immediately,195.0,11,20000.0,"Studio Apartment for Rent in Kalyani Nagar, "
263,2,Furnished,2,Immediately,800.0,5,32000.0,"Hinjawadi Village, "
265,1,Unfurnished,1,Immediately,825.0,3,14500.0,"Fatima Nagar Wanowrie, "
266,2,Unfurnished,2,Immediately,900.0,3,37000.0,"Ideal Colony, Kothrud, "
267,2,Furnished,2,Immediately,860.0,5,40000.0,"EON Free Zone, Kharadi, "
268,3,Semi-Furnished,3,Immediately,1400.0,2,75000.0,"Shivajinagar, "
269,1,Semi-Furnished,1,Immediately,580.0,7,25000.0,"Bavdhan, "
270,1,Semi-Furnished,2,Immediately,500.0,4,22000.0,"Wakad, "
271,1,Furnished,1,Immediately,584.0,4,18000.0,"Wagholi, "
272,2,Unfurnished,2,Immediately,630.0,10,20000.0,"Hinjawadi, "
273,2,Furnished,2,Immediately,760.0,7,30000.0,"Pimple Saudagar, Pimpri Chinchwad, "
274,2,Unfurnished,2,Immediately,1150.0,10,35000.0,"Balewadi, "
275,1,Semi-Furnished,1,Immediately,560.0,2,20000.0,"Gokhalenagar, "
276,3,Semi-Furnished,3,Immediately,1494.0,7,36000.0,"Charholi BK, "
277,1,Furnished,1,Immediately,450.0,9,15000.0,"Fursungi, "
278,3,Semi-Furnished,3,Immediately,1200.0,1,32000.0,"Sun City, Anand Nagar, "
279,2,Semi-Furnished,2,Immediately,800.0,1,25500.0,"Vishnu Dev Nagar Wakad, "
280,1,Semi-Furnished,1,Immediately,650.0,4,5000.0,
281,2,Furnished,2,Immediately,825.0,12,30000.0,"Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, "
282,3,Unfurnished,2,Immediately,930.0,5,22000.0,"Chikhali Pimpri Chinchwad, "
283,2,Unfurnished,2,Immediately,610.0,7,28000.0,"Baner, "
284,1,Unfurnished,1,Immediately,825.0,1,18000.0,"Wagholi, "
285,2,Semi-Furnished,2,Immediately,850.0,4,26000.0,"Shankar Kalat Nagar, "
286,2,Unfurnished,2,Immediately,825.0,5,20000.0,"Moshi, "
287,2,Unfurnished,2,Immediately,1250.0,9,35000.0,"Rakshak Nagar, Kharadi, "
288,1,Semi-Furnished,1,Immediately,510.0,16,31000.0,"Gahunje, "
289,2,Furnished,2,Immediately,950.0,4,32000.0,"Sun City, Anand Nagar, "
290,2,Unfurnished,2,Immediately,750.0,7,36055.0,"Amanora Park Town, "
291,4,Unfurnished,6,Immediately,3000.0,12,330000.0,"Koregaon Park, "
292,2,Semi-Furnished,2,Immediately,720.0,18,30000.0,"Maan, "
293,2,Semi-Furnished,2,Immediately,850.0,6,35000.0,"Wakad, "
294,2,Unfurnished,2,Immediately,725.0,0,34999.0,"Amanora Park Town, "
295,2,Unfurnished,2,Immediately,750.0,5,23500.0,"Ravet, Pimpri Chinchwad, "
296,1,Unfurnished,2,Immediately,600.0,2,18000.0,"Wadgaon Sheri, "
297,3,Unfurnished,3,Immediately,1450.0,4,45000.0,"Magarpatta, "
298,1,Unfurnished,2,Immediately,500.0,1,11000.0,"Keshav Nagar Mundhwa, "
299,2,Unfurnished,2,Immediately,736.0,4,21000.0,"Talegaon Dabhade, "
300,2,Semi-Furnished,2,Immediately,750.0,4,20000.0,"Ambegaon, "
301,1,Unfurnished,1,Immediately,500.0,3,10000.0,"Yewalewadi, Katraj, "
302,2,Semi-Furnished,2,Immediately,700.0,15,27500.0,"Mahalunge, "
303,2,Unfurnished,2,Immediately,750.0,7,18000.0,"Kondhwa, "
304,3,Semi-Furnished,3,Immediately,825.0,6,20000.0,"Undri, "
305,2,Unfurnished,2,Immediately,825.0,7,30000.0,"Mahalunge, "
306,2,Semi-Furnished,2,Immediately,825.0,2,28000.0,"Wakad, "
307,2,Unfurnished,2,Immediately,825.0,6,17000.0,"Undri, "
308,1,Unfurnished,1,Immediately,464.0,1,10500.0,"Charholi BK, "
309,3,Semi-Furnished,3,Immediately,900.0,6,40000.0,"Camp, "
310,2,Unfurnished,2,Immediately,600.0,5,11500.0,"Katraj, "
311,1,Semi-Furnished,1,Immediately,500.0,2,18000.0,"Shankar Kalat Nagar, "
312,3,Furnished,3,Immediately,825.0,2,140000.0,"Kalyani Nagar, "
313,1,Unfurnished,1,Immediately,560.0,8,12000.0,"Garmal, Dhayari, "
314,2,Semi-Furnished,2,Immediately,800.0,5,23000.0,"Akurdi, "
315,1,Semi-Furnished,1,Immediately,825.0,1,12000.0,"Dhanori, "
316,2,Furnished,2,Immediately,825.0,1,20000.0,"Kesnand, "
317,3,Unfurnished,2,Immediately,900.0,5,25000.0,"Hinjawadi, "
318,3,Semi-Furnished,3,Immediately,1550.0,9,58000.0,"EON Free Zone, Kharadi, "
319,3,Semi-Furnished,3,Immediately,1250.0,4,46000.0,"Magarpatta, "
320,2,Unfurnished,2,From Mar '25,750.0,3,20000.0,"Chinchwad, Pimpri Chinchwad, "
321,4,Semi-Furnished,4,Immediately,2550.0,7,90000.0,"EON Free Zone, Kharadi, "
322,3,Furnished,3,Immediately,1560.0,4,75000.0,"Viman Nagar, "
323,3,Unfurnished,3,Immediately,1080.0,9,42000.0,"Balkrishna Sakharam Dhole Patil Road, "
324,2,Unfurnished,2,Immediately,814.0,3,45000.0,"Viman Nagar, "
325,2,Unfurnished,2,Immediately,825.0,12,42000.0,"Hinjawadi, "
326,2,Semi-Furnished,2,Immediately,770.0,19,22000.0,"Punawale, Pimpri Chinchwad, "
327,2,Semi-Furnished,2,Immediately,825.0,3,22000.0,"Wagholi, "
328,2,Unfurnished,2,Immediately,830.0,7,23500.0,"Wagholi, "
329,2,Unfurnished,2,Immediately,830.0,6,23500.0,"Wagholi, "
330,2,Unfurnished,2,Immediately,825.0,7,20000.0,"Lohegaon, "
331,2,Unfurnished,2,Immediately,825.0,23,34000.0,"Amanora Park Town, "
332,2,Unfurnished,2,Immediately,1000.0,8,33000.0,"Hadapsar, "
333,2,Semi-Furnished,2,Immediately,825.0,7,25000.0,"Hinjawadi, "
334,2,Semi-Furnished,2,Immediately,900.0,8,26000.0,"Wakad, "
335,2,Unfurnished,2,Immediately,825.0,7,28000.0,"Dhanori, "
336,1,Semi-Furnished,2,Immediately,495.0,8,12000.0,"Undri, "
337,1,Unfurnished,1,Immediately,425.0,3,9000.0,"Katraj, "
338,3,Furnished,3,Immediately,825.0,4,65000.0,"Kharadi, "
339,3,Unfurnished,3,Immediately,1250.0,11,35000.0,"NIBM Road, "
340,2,Unfurnished,2,Immediately,766.0,7,22000.0,"Bavdhan, "
341,2,Unfurnished,2,Immediately,825.0,1,26000.0,"Tathawade Pimpri Chinchwad, "
342,1,Semi-Furnished,1,Immediately,825.0,8,10000.0,"Kalyani Nagar, "
343,3,Furnished,3,Immediately,1650.0,2,80000.0,"Baner, "
344,2,Unfurnished,2,Immediately,825.0,14,27400.0,"Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, "
345,3,Furnished,4,Immediately,2000.0,4,93000.0,"Kharadi, "
346,2,Unfurnished,2,Immediately,825.0,4,30000.0,"Wagholi, "
347,1,Unfurnished,1,Immediately,825.0,7,16500.0,"Punawale, Pimpri Chinchwad, "
348,2,Unfurnished,2,Immediately,1150.0,8,19000.0,"Undri, "
349,3,Unfurnished,3,Immediately,1400.0,6,60000.0,"Bhoslenagar Ashok Nagar, "
350,1,Unfurnished,1,Immediately,825.0,3,8000.0,"Bharati Vidyapeeth Campus, "
351,1,Unfurnished,1,Immediately,825.0,4,12500.0,"Keshav Nagar Mundhwa, "
352,3,Furnished,4,Immediately,1650.0,2,85000.0,"Boat Club Road, "
353,2,Unfurnished,2,Immediately,1000.0,5,33000.0,"Magarpatta, "
354,2,Unfurnished,2,Immediately,780.0,9,23000.0,"Dhanori, "
355,1,Unfurnished,1,Immediately,590.0,5,30000.0,"Kalyani Nagar, "
356,2,Furnished,2,Immediately,750.0,2,19000.0,"Sasane Nagar, Hadapsar, "
357,2,Semi-Furnished,2,Immediately,817.0,3,41000.0,"Thite Nagar, Kharadi, "
358,2,Furnished,2,Immediately,1200.0,6,35000.0,"Aundh, "
359,2,Semi-Furnished,2,Immediately,807.0,3,28000.0,"Amanora Park Town, "
360,2,Semi-Furnished,2,Immediately,800.0,3,29000.0,"Kharadi, "
361,2,Furnished,2,Immediately,950.0,3,35000.0,"Aundh, "
362,2,Semi-Furnished,2,Immediately,825.0,4,22800.0,"Hinjawadi, "
363,2,Semi-Furnished,2,Immediately,698.0,10,23000.0,"Hinjawadi, "
364,3,Unfurnished,3,Immediately,1250.0,9,42000.0,"Bavdhan, "
365,3,Unfurnished,3,Immediately,1200.0,10,36000.0,"Mahalunge, "
366,1,Unfurnished,1,Immediately,600.0,0,12000.0,
367,2,Furnished,2,Immediately,825.0,3,50000.0,"Hadapsar, "
368,2,Unfurnished,2,Immediately,830.0,15,20000.0,"Hinjawadi, "
369,2,Semi-Furnished,2,Immediately,825.0,6,28000.0,"Mundhwa, "
370,4,Furnished,4,Immediately,1100.0,9,55000.0,"Ravet, Pimpri Chinchwad, "
371,3,Unfurnished,2,Immediately,750.0,21,29000.0,"Punawale, Pimpri Chinchwad, "
372,3,Semi-Furnished,3,Immediately,825.0,3,40000.0,"Aundh, "
373,2,Unfurnished,2,Immediately,825.0,7,38000.0,"Kalyani Nagar, "
374,2,Unfurnished,2,Immediately,762.0,3,30000.0,"Magarpatta, "
375,0,Unfurnished,1,Immediately,825.0,0,0.0,"Studio Apartment for Rent in Anjani Nagar, "
376,2,Semi-Furnished,2,Immediately,758.0,0,21000.0,"Sai Sagar Nagar, "
377,2,Unfurnished,2,Immediately,727.0,14,25000.0,"Wakad, "
378,2,Unfurnished,2,Immediately,765.0,11,36000.0,"New Kalyani Nagar, "
379,1,Unfurnished,1,Immediately,480.0,2,12000.0,"Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, "
380,1,Furnished,1,Immediately,550.0,4,25000.0,"Magarpatta, "
381,4,Semi-Furnished,4,Immediately,3600.0,8,130000.0,"Aundh, "
382,3,Unfurnished,2,Immediately,825.0,8,30000.0,"Kharadi, "
383,2,Unfurnished,2,Immediately,840.0,2,28000.0,"Pimple Saudagar, Pimpri Chinchwad, "
384,3,Unfurnished,3,Immediately,825.0,8,50000.0,"New Kalyani Nagar, "
385,2,Unfurnished,2,Immediately,705.0,10,21000.0,"Hinjawadi, "
386,3,Semi-Furnished,3,Immediately,825.0,3,18000.0,"Lohegaon, "
387,2,Furnished,2,Immediately,960.0,11,44000.0,"Baner, "
388,2,Unfurnished,2,Immediately,825.0,1,21500.0,"Karvenagar, "
389,2,Unfurnished,2,Immediately,1000.0,1,17000.0,"Hadapsar, "
390,2,Unfurnished,2,Immediately,800.0,4,27000.0,"Kharadi, "
