,Rooms,Furnishing,Bathroom,Tenant Preferred,Availability,Carpet Area,Floor,Price
379,"1 BHK Flat for Rent in Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area480 sqft,Floor2 out of 4,"₹12,000"
380,"1 BHK Flat for Rent in Magarpatta, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area550 sqft,Floor4 out of 6,"₹25,000"
381,"4 BHK Flat for Rent in Aundh, Pune",FurnishingSemi-Furnished,Bathroom4,,AvailabilityImmediately,Carpet Area3600 sqft,Floor8 out of 9,₹1.3 Lac
382,"3 BHK Flat for Rent in Kharadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor8 out of 23,"₹30,000"
383,"2 BHK Flat for Rent in Pimple Saudagar, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area840 sqft,Floor2 out of 8,"₹28,000"
384,"3 BHK Flat for Rent in New Kalyani Nagar, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,,Floor8 out of 16,"₹50,000"
385,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area705 sqft,Floor10 out of 22,"₹21,000"
386,"3 BHK Flat for Rent in Lohegaon, Pune",FurnishingSemi-Furnished,Bathroom3,,AvailabilityImmediately,,Floor3 out of 4,"₹18,000"
387,"2 BHK Flat for Rent in Baner, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area960 sqft,Floor11 out of 16,"₹44,000"
388,"2 BHK Flat for Rent in Karvenagar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor1 out of 4,"₹21,500"
389,"2 BHK Flat for Rent in Hadapsar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1000 sqft,Floor1 out of 6,"₹17,000"
